indicativo,altitud,tmed,hrMedia_mean,latitud_dd,longitud_dd,cluster
1390X,98,13.68457391304348,83.03860869565217,43.20361111111112,-8.71111111111111,0
1393,50,14.281004873944537,78.32354320547775,43.160555555555554,-9.210833333333332,0
1399,287,13.46401644962303,85.92837559972584,43.0575,-9.046944444444444,0
1400,230,14.328991596638655,79.76744610887833,42.92472222222222,-9.29138888888889,0
1406X,340,13.336316872427982,84.18844307270233,42.93527777777778,-8.993611111111111,0
1410X,500,12.49574800416522,82.333911836168,43.03777777777778,-8.022222222222224,0
1428,370,13.773722627737227,78.85180151307041,42.88805555555555,-8.410555555555556,0
1435C,128,15.022756670799915,81.36039746442952,42.80027777777777,-8.876111111111111,0
1437O,685,12.62563070562201,70.5356125910545,42.72055555555556,-8.923333333333332,0
1442U,10,15.240122977619816,76.1945272906148,42.64388888888889,-8.892222222222221,0
1446X,680,12.76135276655914,78.03415406602008,42.80972222222222,-7.768333333333333,0
1455I,645,11.837524455928031,78.14206984157907,42.71111111111112,-7.953888888888889,0
1465U,463,13.046210779387478,77.65429697759343,42.66555555555556,-8.1925,0
1466A,435,14.382289648058679,75.384324204004,42.700833333333335,-8.257777777777777,0
1468X,269,14.389908232542089,79.58499853845053,42.69361111111111,-8.501944444444444,0
1473A,100,14.966262062918762,74.51631449093459,42.73833333333334,-8.627222222222223,0
1475X,240,14.699723960250276,73.94221567905778,42.87611111111112,-8.555833333333334,0
1476R,210,14.604079870627691,82.79997263760052,42.74972222222223,-8.714722222222221,0
1477U,36,15.867746350364962,73.84375,42.58222222222223,-8.769722222222223,0
1477V,32,15.732719741841086,76.97481181417646,42.58472222222223,-8.774722222222223,0
1484C,113,15.225878704341833,75.70985527222605,42.43833333333333,-8.615833333333333,0
1486E,3,16.00522000821737,71.60262934233795,42.39611111111111,-8.706944444444444,0
